0.49	0.00	4.77
0.48	0.00	4.80
0.46	0.00	4.59
0.51	0.15	4.39
0.49	0.00	4.58
0.84	0.16	4.63
0.77	1.45	4.44
0.49	6.25	4.18
0.72	7.23	4.15
0.93	2.69	3.56
0.95	5.46	4.07
0.96	8.30	3.98
1.43	3.04	4.12
1.54	4.83	4.22
1.14	8.82	4.27
1.09	11.11	4.00
0.96	31.56	3.93
3.40	18.07	3.72
4.23	21.65	3.54
3.76	17.19	4.02
3.64	11.83	4.14
2.04	6.34	4.03
1.89	35.37	3.71
5.11	16.65	3.76
7.13	18.56	3.24
5.42	7.48	3.72
5.15	4.85	3.83
5.11	9.71	3.80
5.22	11.93	3.56
6.36	23.11	3.79
10.53	24.58	3.40
21.88	47.22	3.49
9.58	12.81	3.65
6.19	6.74	3.81
19.53	54.35	3.81
21.11	87.58	3.90
40.92	91.21	3.03
49.80	39.51	3.86
36.33	9.87	3.72
14.13	10.75	3.77
27.17	74.92	3.08
31.80	33.48	3.17
28.19	55.24	3.43
31.24	30.34	3.21
24.45	30.96	3.39
15.97	23.60	3.63
31.07	48.88	3.73
37.70	63.21	3.39
43.13	86.85	2.77
42.29	28.11	3.55
28.13	12.11	3.45
15.69	0.27	4.11
4.11	1.22	4.00
4.95	0.00	4.14
4.09	9.17	4.16
4.48	0.17	4.21
4.52	4.45	4.03
3.59	0.85	4.05
3.52	0.28	4.12
4.41	2.76	3.81
3.48	5.98	3.92
4.66	3.02	3.66
3.89	1.32	4.17
3.84	3.73	4.01
3.62	9.75	3.90
4.90	13.89	3.73
5.60	1.40	3.77
3.92	3.61	4.07
10.52	22.29	3.93
14.41	49.77	3.59
13.10	10.01	3.47
11.97	27.84	3.70
9.85	9.69	3.58
8.49	19.14	3.78
12.38	21.73	3.62
15.85	43.82	3.16
13.32	30.51	3.20
14.75	38.84	3.18
18.18	54.29	3.27
20.05	21.61	3.29
16.98	2.80	3.68
11.15	0.00	4.11
10.55	2.52	4.08
9.05	1.78	3.93
8.35	1.81	3.68
6.19	0.00	4.01
4.95	1.33	4.02
5.60	6.31	3.83
4.88	7.53	3.92
4.62	1.42	4.07
4.46	0.82	4.21
4.62	0.87	4.16
3.91	2.35	4.07
3.89	0.74	4.26
3.57	0.28	4.18
3.01	0.00	4.42
2.75	0.00	4.29
2.70	0.00	4.46
2.43	0.00	4.56
2.61	0.00	4.40
2.45	1.09	4.32
2.45	2.28	4.17
2.87	2.60	4.40
2.59	0.25	4.00
2.46	4.44	4.57
2.98	2.16	4.47
5.77	8.41	4.15
2.55	0.58	4.14
2.04	0.16	4.16
2.35	5.11	4.38
2.36	3.25	4.34
4.80	15.10	4.51
3.58	8.64	4.28
2.58	0.00	4.05
2.28	2.19	3.79
2.45	6.27	4.24
4.39	12.98	3.87
11.78	22.41	3.99
5.85	7.86	4.04
3.46	0.00	4.24
2.78	0.71	3.98
2.78	0.19	3.34
2.04	0.46	3.39
2.23	1.15	3.08
2.06	4.80	3.09
1.99	9.60	3.50
2.09	0.00	3.58
1.87	0.00	4.14
1.84	0.05	4.41
1.70	0.00	4.44
1.60	0.00	4.35
1.55	0.00	4.36
1.94	3.18	4.06
2.76	12.57	3.98
2.97	4.72	4.09
2.40	1.05	4.30
1.77	0.72	4.35
1.66	0.00	3.89
1.73	4.93	3.50
1.75	2.98	3.85
1.73	1.70	3.89
1.65	0.08	3.96
1.56	23.82	4.06
1.97	14.45	3.68
4.46	32.44	3.24
10.47	15.10	3.70
6.02	4.57	3.42
4.58	9.54	3.63
5.40	10.76	3.27
3.53	2.42	2.94
2.21	0.30	3.64
2.07	5.64	3.50
2.16	0.72	3.60
